LAT;LONG;TYPE;NAME
-80.078132;26.515896;FL Cracker Barrel;Boynton Beach-1475 SW 8th St  I-95 Exit #56 ,Bus and RV Parking,(561) 736-6001
-82.583895;27.461743;FL Cracker Barrel;Bradenton -2203 Cortez Rd W ,(941) 753-9433
-82.474861;27.494587;FL Cracker Barrel;Bradenton-636 67th St Circle E  I-75 Exit #220 ,Bus and RV Parking,(941) 746-7886
-82.236266;28.521193;FL Cracker Barrel;Brooksville-30405 Cracker Crossing  I-75 Exit #301 ,Bus and RV Parking,(352) 799-3101
-82.688609;27.89459;FL Cracker Barrel;Clearwater-4011 Ulmerton Road ,Bus and RV Parking,(727) 572-8685
-81.727115;28.547292;FL Cracker Barrel;Clermont-1520 East SR 50 ,Bus and RV Parking,(352) 243-9608
-86.570341;30.723949;FL Cracker Barrel;Crestview-201 Cracker Barrel Rd  I-10 Exit #56 ,Bus and RV Parking,(850) 682-8804
-81.655311;28.243541;FL Cracker Barrel;Davenport-111 Dunson Ln  I-4 Exit #55 ,Bus and RV Parking,(863) 424-8100
-81.07841;29.183043;FL Cracker Barrel;Daytona Beach-2325 W. International Speedway Blvd  I-95 Exit #261A ,Bus and RV Parking,(386) 248-0034
-80.119041;26.301109;FL Cracker Barrel;Deerfield Beach-1250 SW 11th Way  I-95 Exit #41 ,Bus and RV Parking,(954) 426-4100
-86.424722;30.388474;FL Cracker Barrel;Destin-34930 Emerald Coast Pkwy ,Bus and RV Parking,(850) 269-3344
-80.477145;25.447242;FL Cracker Barrel;Florida City-155 N. Krome Ave  US 1 Exit #1 ,(305) 248-2033
-81.79077;26.54687;FL Cracker Barrel;Ft. Myers-10090 Daniels Pky  I-75 Exit #131 ,Bus and RV Parking,(239) 561-6461
-81.796904;26.683941;FL Cracker Barrel;Ft. Myers-4260 Boatways Dr  I-75 Exit #141 ,Bus and RV Parking,(239) 693-2244
-80.390191;27.418946;FL Cracker Barrel;Ft. Pierce-2550 Peters Rd  I-95 Exit #129 ,Bus and RV Parking,(772) 595-9393
-82.388419;29.617665;FL Cracker Barrel;Gainesville-4001 S.W. 43rd St  I-75 Exit #384 ,Bus and RV Parking,(352) 375-2424
-81.642594;30.478985;FL Cracker Barrel;Jacksonville-13250 City Station Dr  I-95 Exit #36 ,Bus and RV Parking,(904) 751-3678
-81.551508;30.331914;FL Cracker Barrel;Jacksonville-438 Commerce Center Dr ,(904) 805-9220
-81.597159;30.248458;FL Cracker Barrel;Jacksonville-4680 Lenoir Ave  I-95 Exit #344 ,Bus and RV Parking,(904) 296-7530
-81.844025;30.307837;FL Cracker Barrel;Jacksonville-502 Chaffee Point Blvd  I-10 Exit #351 ,Bus and RV Parking,(904) 783-0254
-80.27774;27.255648;FL Cracker Barrel;Jensen Beach-4101 NW Federal Hwy   US-1 ,Bus and RV Parking,(772) 692-6934
-81.499221;28.331955;FL Cracker Barrel;Kissimmee-5400 W. Irlo Bronson Memorial Hwy  I-4 Exit #64A ,Bus and RV Parking,(407) 396-6521
-81.959958;28.955771;FL Cracker Barrel;Lady Lake-13637 US Hwy 27/441 ,(352) 259-6603
-82.598737;29.997232;FL Cracker Barrel;Lake City-1468 Commerce Blvd  I-75 and US 90 Exit #427 ,Bus and RV Parking,(386) 755-5638
-81.952704;28.097857;FL Cracker Barrel;Lakeland-4343 Lakeland Park Dr  I-4 Exit #33 ,Bus and RV Parking,(863) 853-5405
-81.800514;28.826314;FL Cracker Barrel;Leesburg-9450 US 441 ,Bus and RV Parking,(352) 315-8447
-80.720181;28.231562;FL Cracker Barrel;Melbourne-7225 George T. Edwards Dr  I-95 Exit #191 ,Bus and RV Parking,(321) 242-0350
-81.685416;26.157056;FL Cracker Barrel;Naples-3845 Tollgate Blvd.  I-75 Exit #101 ,Bus and RV Parking,(239) 455-6588
-82.728202;28.236745;FL Cracker Barrel;New Port Richey-5341 US Hwy 19 ,(727) 849-5147
-82.186428;29.149779;FL Cracker Barrel;Ocala-3801 SW College Rd  I-75 Exit #350 ,Bus and RV Parking,(352) 854-7870
-81.702122;30.190796;FL Cracker Barrel;Orange Park-4272 Eldridge Loop  I-295 Exit #10 ,Bus and RV Parking,(904) 264-2292
-81.405076;28.370728;FL Cracker Barrel;Orlando-13300 S. Orange Blossom Trail ,(407) 857-6124
-81.309686;28.46639;FL Cracker Barrel;Orlando-6699 S Semoran Blvd ,Bus and RV Parking,(407) 240-0103
-81.116803;29.255401;FL Cracker Barrel;Ormond Beach-125 Interchange Blvd  I-95 Exit #268 ,Bus and RV Parking,(386) 673-5400
-81.600748;28.342428;FL Cracker Barrel;Osceola/Kissimmee-7878 W. Irlo Bronson Memorial ,Bus and RV Parking,(407) 390-1190
-80.639359;28.0354;FL Cracker Barrel;Palm Bay-1175 Palm Bay Rd NE ,(321) 952-7555
-81.213343;29.553829;FL Cracker Barrel;Palm Coast-4 Kingswood Dr  I-95 Exit #289 ,Bus and RV Parking,(386) 445-2127
-80.348403;26.025378;FL Cracker Barrel;Pembroke Pines-1960 N W 150th Ave  I-75 Exit #11 ,Bus and RV Parking,(954) 704-4020
-87.316104;30.521955;FL Cracker Barrel;Pensacola-8050 Lavelle Way  I-10 Exit #7 ,Bus and RV Parking,(850) 944-2090
-82.049697;27.01785;FL Cracker Barrel;Port Charlotte-800 Kings Hwy  I-75 Exit #170 ,Bus and RV Parking,(941) 624-4994
-81.334201;28.814258;FL Cracker Barrel;Sanford-200 Hickman Dr  I-4 Exit #101C ,Bus and RV Parking,(407) 324-1020
-82.30541;28.006651;FL Cracker Barrel;Seffner-6150 Lazy Days Blvd  I-4 Exit #10 ,Bus and RV Parking,(813) 621-7323
-82.631182;28.454433;FL Cracker Barrel;Spring Hill- 1371 Commercial way Spring Hill Florida 34607 (352) 6882911,Bus and RV Parking
-81.412668;29.915115;FL Cracker Barrel;St Augustine-2441 State Road 16  I-95 Exit #318 ,Bus and RV Parking,(904) 829-9222
-82.662627;27.821825;FL Cracker Barrel;St. Petersburg-2151 54th Ave N  I-275 Exit #26 ,Bus and RV Parking,(727) 526-0031
-80.260019;27.112083;FL Cracker Barrel;Stuart-7461 S W Lost River Rd  I-95 Exit #10 ,Bus and RV Parking,(772) 781-0097
-84.30705;30.479909;FL Cracker Barrel;Tallahassee-2930 Hospitality Rd  I-10 Exit #199 ,(850) 385-9249
-82.646144;28.033488;FL Cracker Barrel;Tampa-13833 W. Hillsborough Ave ,(813) 855-4200
-82.425172;28.080951;FL Cracker Barrel;Tampa-3125 Cove Bend Dr ,(813) 977-8988
-80.853801;28.551922;FL Cracker Barrel;Titusville-4745 Helen Hauser Blvd  I-95 Exit #215 ,Bus and RV Parking,(321) 268-9911
-82.256885;27.938625;FL Cracker Barrel;Valrico-1880 State Road 60 E ,(813) 662-0607
-82.387304;27.11052;FL Cracker Barrel;Venice-445 Commercial Ct  I-75 Exit #193 ,Bus and RV Parking,(941) 480-9200
-80.51938;27.638422;FL Cracker Barrel;Vero Beach-9380 19th Ln  I-95 Exit #147 ,Bus and RV Parking,(772) 563-0066
-82.356907;28.239396;FL Cracker Barrel;Wesley Chapel-5636 Oakley Blvd  I-75 Exit #279 ,Bus and RV Parking,(813) 973-4884
-80.092778;26.758047;FL Cracker Barrel;West Palm Beach-2411 Metrocentre Blvd  I-95 Exit #74 ,Bus and RV Parking,(561) 686-0660
-81.58336;28.5368;FL Cracker Barrel;Winter Garden-3316 Daniels Rd ,Bus and RV Parking,(407) 654-2405
-84.909373;34.378299;GA Cracker Barrel;Adairsville-941 Hwy 140  I-75 Exit #306 ,Bus and RV Parking,(770) 773-1782
-84.21153;31.616217;GA Cracker Barrel;Albany-1114 Westover Blvd ,Bus and RV Parking,(229) 420-0058
-84.263938;34.0877;GA Cracker Barrel;Alpharetta-5580 Windward Pky   US-400 Exit #11 ,(770) 521-9597
-83.445111;33.91582;GA Cracker Barrel;Athens-1913 Epps Bridge Pkwy ,(706) 208-0304
-82.133499;33.480065;GA Cracker Barrel;Augusta-460 Park West Dr  I-20 Exit #194 ,Bus and RV Parking,(706) 650-2414
-83.76321;34.118733;GA Cracker Barrel;Braselton-301 Exchange Way  I-85 Exit #129 ,Bus and RV Parking,(706) 658-0009
-85.154541;33.687478;GA Cracker Barrel;Bremen-106 Price Creek Rd  I-20 Exit #11 ,Bus and RV Parking,(770) 537-0199
-81.523195;31.217903;GA Cracker Barrel;Brunswick-211 Warren Mason Blvd  I-95 Exit #36A/B ,Bus and RV Parking,(912) 267-7905
-83.952585;34.141165;GA Cracker Barrel;Buford-4758 Friendship Rd off I-985, (770) 831-5539
-84.916014;34.469654;GA Cracker Barrel;Calhoun-100 Cracker Barrel Dr  I-75 Exit #312 ,Bus and RV Parking,(706) 624-1661
-84.469672;34.253919;GA Cracker Barrel;Canton-715 Transit Ave  I-575 Exit #20 ,Bus and RV Parking,(770) 479-2336
-84.765292;34.205106;GA Cracker Barrel;Cartersville-5631 SR 20 NE  I-75 Exit #290 ,Bus and RV Parking,(770) 386-6973
-84.971066;32.53204;GA Cracker Barrel;Columbus-1500 Bradley Park Dr ,(706) 317-3460
-83.463111;34.257017;GA Cracker Barrel;Commerce-138 Eisenhower Dr  I-85 Exit #149 ,Bus and RV Parking,(706) 335-3788
-84.00643;33.655168;GA Cracker Barrel;Conyers-1182 Dogwood Dr  I-20 Exit #82 ,Bus and RV Parking,(770) 785-7600
-83.754436;31.958741;GA Cracker Barrel;Cordele-1905 Central Ave  I-75 Exit #101 ,Bus and RV Parking,(229) 271-0331
-84.1223096;34.1676526;GA Cracker Barrel;Cumming-675 Buford Hwy, (770) 205-1916
-85.00011;34.758187;GA Cracker Barrel;Dalton-938 Market St  I-75 Exit #333 ,Bus and RV Parking,(706) 226-5231
-84.759619;33.729574;GA Cracker Barrel;Douglasville-7060 Concource Pwy I-20 Exit #34 ,Bus and RV Parking,(770) 489-8588
-82.937958;32.487257;GA Cracker Barrel;Dublin-104 Travel Center Blvd  I-16 Exit #51 ,Bus and RV Parking,(478) 275-4220
-82.128951;33.536001;GA Cracker Barrel;Evans 544 N. Belair Rd ,(706) 228-3018
-84.577615;33.542195;GA Cracker Barrel;Fairburn-7995 Senoia Rd I-85 & Senoia Road Exit 61, (770) 969-0688
-84.57398;34.033315;GA Cracker Barrel;Kennesaw-3389 George Busbee Pky  I-75 Exit #271 ,(770) 429-1524
-81.670334;30.792234;GA Cracker Barrel;Kingsland-900 Boone Ave Ext.  I-95 Exit #3 ,Bus and RV Parking,(912) 576-1991
-84.97549;33.042199;GA Cracker Barrel;LaGrange-105 Hoffman Dr  I-85 Exit #18 ,Bus and RV Parking,(706) 884-0159
-83.2256;30.6809;GA Cracker Barrel;Lake Park-4914 Timber Dr  I-75 Exit #5 ,Bus and RV Parking,(229) 559-0864
-84.605851;33.774269;GA Cracker Barrel;Lithia Springs-970 West Point Ct  I-20 Exit #44 ,(678) 398-8568
-83.684527;32.899556;GA Cracker Barrel;Macon-3950 Riverside Dr  I-75 Exit #171 ,(478) 474-7029
-83.720469;32.813118;GA Cracker Barrel;Macon-4905 Brookhaven Rd  I-475 Exit #3 ,(478) 477-4848
-83.47411;33.554035;GA Cracker Barrel;Madison-2003 Eatonton Rd  I-20 Exit #114 ,Bus and RV Parking,(706) 343-9963
-84.491911;33.922624;GA Cracker Barrel;Marietta-2150 Delk Road  I-75 Exit #261 ,(770) 951-2602
-84.181935;33.430155;GA Cracker Barrel;McDonough-1124 Highway 20/81  I-75 Exit #218 ,Bus and RV Parking,(678) 583-9931
-84.344955;33.578355;GA Cracker Barrel;Morrow-1458 Southlake Plaza Dr  I-75 Exit #233 ,Bus and RV Parking,(770) 961-4533
-84.758809;33.396309;GA Cracker Barrel;Newnan-527 Bullsboro Dr  I-85 Exit #47 ,Bus and RV Parking,(770) 252-1055
-84.208806;33.910263;GA Cracker Barrel;Norcross-6175 McDonough Dr  I-85 Exit #99 ,(770) 446-1313
-83.752495;32.446814;GA Cracker Barrel;Perry-101 Lect Dr  I-75 Exit #135 ,Bus and RV Parking,(478) 987-2242
-81.230727;32.108527;GA Cracker Barrel;Pooler-1000 East Hwy. 80  I-95 Exit #102 ,Bus and RV Parking,(912) 748-7411
-85.128666;34.911569;GA Cracker Barrel;Ringgold-50 Biscuit Way  I-75 Exit #348 ,Bus and RV Parking,(706) 937-2785
-81.146912;31.981311;GA Cracker Barrel;Savannah-17017 Abercorn St  I-95 Exit #94 ,Bus and RV Parking,(912) 927-6559
-81.759142;32.4304;GA Cracker Barrel;Statesboro-216 Henry Blvd ,912-764-7612
-84.042097;34.027304;GA Cracker Barrel;Suwanee-75 Gwinco Blvd  I-85 Exit #111 ,Bus and RV Parking,(770) 932-5692
-83.446652;31.483261;GA Cracker Barrel;Tifton-708 U.S. 319 South  I-75 Exit #62 ,Bus and RV Parking,(229) 386-4412
-83.3234;30.842;GA Cracker Barrel;Valdosta-1195 St Augustine Rd  I-75 Exit #18 ,Bus and RV Parking,(229) 244-5258
-83.669241;32.618304;GA Cracker Barrel;Warner Robins-2700 Watson Blvd ,(478) 953-1818
-93.779387;41.600521;IA Cracker Barrel;Clive-11701 University Ave  I-35 I-80 Exit #124S/72C-N ,Bus and RV Parking,(515) 226-9603
-95.849056;41.231158;IA Cracker Barrel;Council Bluffs-530 30th Ave  I-29 I-80 Exit #3 ,Bus and RV Parking,(712) 366-6076
-90.570207;41.591671;IA Cracker Barrel;Davenport-300 Jason Way Court  I-80 Exit #295A ,Bus and RV Parking,(563) 386-4847
-116.274794;43.588393;ID Cracker Barrel;Boise-1733 South Cole Road  I-84 Exit #50A ,Bus and RV Parking,(208) 321-8280
-89.024974;40.483889;IL Cracker Barrel;Bloomington-502 Brock Dr  I-55 I-74 Exit #160A ,Bus and RV Parking,(309) 829-3155
-87.845326;41.175816;IL Cracker Barrel;Bourbonnais-50 Ken Hayes Dr  I-57 Exit #315 ,Bus and RV Parking,(815) 936-6022
-90.048041;38.612118;IL Cracker Barrel;Caseyville-2421 Old Country Inn Dr  I-64 Exit #9 ,Bus and RV Parking,(618) 397-1599
-88.954335;39.911046;IL Cracker Barrel;Decatur-5120 Hickory Point Frontage Rd  I-72 Exit #141B ,Bus and RV Parking,(217) 876-8036
-88.555927;39.141364;IL Cracker Barrel;Effingham-1101 Avenue of Mid-America  I-70 I-57 Exit #160 ,Bus and RV Parking,(217) 347-7130
-87.944206;42.377293;IL Cracker Barrel;Gurnee-5706 Northridge Dr  I-94 Exit #70 ,Bus and RV Parking,(847) 244-1512
-88.16648;41.494829;IL Cracker Barrel;Joliet-1511 Riverboat Center  I-80 Exit #127 ,Bus and RV Parking,(815) 744-0985
-89.413436;40.157623;IL Cracker Barrel;Lincoln-1013 Heitmann Dr ,Bus and RV Parking,(217) 732-4682
-88.962531;37.730002;IL Cracker Barrel;Marion-2602 W. Main St  I-57 Exit #53 ,Bus and RV Parking,(618) 993-6306
-87.737643;41.510305;IL Cracker Barrel;Matteson-1020 Corporate Lakes Dr  I-57 Exit #340 ,Bus and RV Parking,(708) 503-4000
-88.367083;39.481503;IL Cracker Barrel;Mattoon-1101 Charleston Ave  I-57 Exit #95 ,Bus and RV Parking,(217) 234-9091
-89.463608;40.625039;IL Cracker Barrel;Morton-150 E. Ashland St  I-74 Exit #102 ,Bus and RV Parking,(309) 263-2103
-88.954199;38.3152;IL Cracker Barrel;Mt. Vernon-4425 Fairfax Dr  I-57 I-64 Exit #95 ,Bus and RV Parking,(618) 242-9110
-88.208744;41.80216;IL Cracker Barrel;Naperville-1855 W. Diehl Rd  I-88 Exit #59 ,Bus and RV Parking,(630) 778-6699
-88.835936;41.379685;IL Cracker Barrel;Ottowa-4119 Columbus St  I-80 Exit #90 ,Bus and RV Parking,(815) 431-9779
-88.961135;42.274642;IL Cracker Barrel;Rockford-730 N. Lyford Rd  I-90 Exit #63 ,Bus and RV Parking,(815) 226-1944
-88.123915;41.657754;IL Cracker Barrel;Romerville-1295 Lakeview Dr  I-55 Exit #263 ,Bus and RV Parking,(630) 759-6171
-89.927038;38.574172;IL Cracker Barrel;Shiloh-3160 Green Mount Crossing Dr  I-64 Exit #16 ,Bus and RV Parking,(618) 624-7226
-89.639699;39.71499;IL Cracker Barrel;Springfield-5975 S 6th St  I-55 Exit #90 ,Bus and RV Parking,(217) 529-2290
-87.794479;41.554055;IL Cracker Barrel;Tinley Park-18531 N. Creek Dr  I-80 Exit #148 ,Bus and RV Parking,(708) 614-8066
-89.915212;38.732765;IL Cracker Barrel;Troy-2001 Formosa Rd  I-70 I-55 Exit #18 ,Bus and RV Parking,(618) 667-2021
-88.199421;40.133336;IL Cracker Barrel;Urbana-2101 N. Kenyon Rd  I-74 Exit #184 ,Bus and RV Parking,(217) 344-9087
-85.651828;40.055447;IN Cracker Barrel;Anderson-2012 East 59th St  I-69 Exit #26 ,(765) 642-6424
-85.085352;41.365367;IN Cracker Barrel;Auburn-1410 Shook Dr  I-69 Exit #129 ,Bus and RV Parking,(260) 925-0241
-86.634354;39.243144;IN Cracker Barrel;Bloomington-380 N Jacob Dr ,Bus and RV Parking,(812) 323-9114
-86.127771;38.235312;IN Cracker Barrel;Corydon-140 Pacer Dr NW  I-64 Exit #105 ,Bus and RV Parking,(812) 734-0407
-86.87455;40.04122;IN Cracker Barrel;Crawfordsville-1005 Candle View Lane I-74 and US 231 exit 34, (765) 362-5097
-85.963628;39.307794;IN Cracker Barrel;Edinburgh-11701 North U.S. 31  I-65 Exit #76 ,Bus and RV Parking,(812) 526-7968
-85.973967;41.734635;IN Cracker Barrel;Elkhart-110 Northpointe Blvd  I-80 Exit #92 ,Bus and RV Parking,(574) 264-6963
-87.454306;37.975666;IN Cracker Barrel;Evansville-8215 Eagle Lake Dr  I-164 Exit #7 ,Bus and RV Parking,(812) 479-8788
-86.027235;39.928452;IN Cracker Barrel;Fishers-9700 North By Northeast Blvd  I-69 Exit #3 ,Bus and RV Parking,(317) 842-2766
-85.009648;41.131765;IN Cracker Barrel;Fort Wayne-10427 Maysville Rd  I-469 Exit #25 ,(260) 492-7500
-85.160501;41.13235;IN Cracker Barrel;Fort Wayne-1609 W. Washington Center Rd  I-69 Exit #111B ,(260) 489-1855
-85.546444;40.479537;IN Cracker Barrel;Gas City-4984 S Kaybee Dr  I-69 Exit #59 ,Bus and RV Parking,(765) 998-7790
-85.768204;39.819085;IN Cracker Barrel;Greenfield-2265 Barrett Dr  I-70 Exit #104 ,Bus and RV Parking,(317) 468-0820
-87.462571;41.572297;IN Cracker Barrel;Hammond-7750 Corinne Dr  I-80 I-94 Exit #3 ,Bus and RV Parking,(219) 844-1259
-86.013652;39.801613;IN Cracker Barrel;Indianapolis-2340 Post Rd  I-70 Exit #91 ,Bus and RV Parking,(317) 897-1042
-86.278688;39.824477;IN Cracker Barrel;Indianapolis-3840 Eagle View Dr  I-465 Exit #17 ,(317) 298-8908
-86.093776;39.666369;IN Cracker Barrel;Indianapolis-4350 Southport Rd  I-65 Exit #103 ,(317) 784-7691
-86.227435;39.921374;IN Cracker Barrel;Indianapolis-9340 N Michigan Rd  I-465 Exit #27 ,(317) 337-0029
-86.127019;40.435019;IN Cracker Barrel;Kokomo-404 Kentucky Dr ,Bus and RV Parking,(765) 453-3075
-86.816889;40.4182;IN Cracker Barrel;Lafayette-40 Frontage Rd  I-65 Exit #172 ,Bus and RV Parking,(765) 447-9544
-87.317956;41.505531;IN Cracker Barrel;Merrillville-6200 Opportunity Ln  I-65 Exit #255 ,Bus and RV Parking,(219) 947-2617
-86.369227;39.673541;IN Cracker Barrel;Plainfield-6256 Cambridge Way  I-70 Exit #66 ,Bus and RV Parking,(317) 838-9198
