state_name;county_name;state_fips;county_fips;age_adjusted_percent;age_adjusted_percent_sd;age_adjusted_percent_95l;age_adjusted_percent_p5u;est_percent;percent_sd;percent_95l;percent_95u;estimated_total;estimated_total_sd;estimated_total_95l;estimated_total_95h;v1;v2;obesity_bin;obesity_category;cty_name_2;state_2;elevation;long;lat
IOWA;O'Brien;19;141;28.5;2.7;23.6;34;28.5;2.5;23.8;33.6;3011;264;2515;3559;;;3;2;O'Brien;Iowa;14398;43.126413;-95.690881
IOWA;Osceola;19;143;28;2.9;22.9;34;28.1;2.7;23.2;33.7;1358;130;1121;1628;;;3;2;Osceola;Iowa;6462;43.38638;-95.680373
IOWA;Page;19;145;29.3;2.7;24.4;34.8;29.2;2.5;24.6;34.4;3509;300;2953;4130;;;3;3;Page;Iowa;15932;40.747616;-95.188476
IOWA;Palo Alto;19;147;28.3;2.9;23.1;34.4;28.1;2.7;23.3;33.6;1976;188;1638;2365;;;3;2;Palo Alto;Iowa;9421;43.099878;-94.690212
IOWA;Plymouth;19;149;29.3;2.6;24.5;34.6;29.4;2.5;24.8;34.6;5220;443;4393;6130;;;3;3;Plymouth;Iowa;24986;42.747907;-96.203431
IOWA;Pocahontas;19;151;28.8;2.9;23.5;34.7;28.8;2.6;23.9;34.2;1682;154;1400;1999;;;3;2;Pocahontas;Iowa;7310;42.745402;-94.700868
IOWA;Polk;19;153;27;1.1;24.9;29.1;27.1;1.1;25.1;29.3;81830;3281;75610;88330;;;2;1;Polk;Iowa;430640;41.623296;-93.641654
IOWA;Pottawattamie;19;155;29.4;2.1;25.6;33.8;29.5;2;25.8;33.7;19210;1323;16760;21950;;;3;3;Pottawattamie;Iowa;93158;41.278533;-95.79515
IOWA;Poweshiek;19;157;28.8;2.6;24;34.3;28.6;2.5;24.1;33.7;3993;344;3360;4705;;;3;2;Poweshiek;Iowa;18914;41.709953;-92.620663
IOWA;Ringgold;19;159;28.3;3;22.8;34.5;27.9;2.8;22.8;33.6;1102;109;901;1328;;;3;2;Ringgold;Iowa;5131;40.733763;-94.23852
IOWA;Sac;19;161;29.2;2.9;23.9;35.3;29;2.7;24.1;34.6;2295;211;1911;2742;;;3;3;Sac;Iowa;10350;42.375805;-95.088801
IOWA;Scott;19;163;26.2;1.5;23.4;29.2;26.5;1.4;23.8;29.4;31360;1679;28190;34770;;;2;0;Scott;Iowa;165224;41.563153;-90.567812
IOWA;Shelby;19;165;28;2.7;23.1;33.5;27.9;2.5;23.3;33.2;2579;233;2154;3061;;;3;2;Shelby;Iowa;12167;41.665153;-95.320336
IOWA;Sioux;19;167;26.8;2.2;22.8;31.3;26.7;2.1;22.8;31.1;5995;479;5114;6969;;;2;1;Sioux;Iowa;33704;43.079825;-96.16727
IOWA;Story;19;169;26.2;1.9;22.6;30.1;26.2;2;22.5;30.3;16740;1270;14390;19410;;;2;0;Story;Iowa;89542;42.026371;-93.601827
IOWA;Tama;19;171;27.8;2.5;23.2;33;27.7;2.3;23.3;32.7;3567;301;2997;4204;;;3;2;Tama;Iowa;17767;42.065599;-92.542587
IOWA;Taylor;19;173;28.1;2.8;23;34.1;28;2.6;23.2;33.6;1336;126;1106;1600;;;3;2;Taylor;Iowa;6317;40.755364;-94.673438
IOWA;Union;19;175;27.1;2.7;22.2;32.7;26.9;2.5;22.2;32.1;2460;228;2035;2936;;;2;1;Union;Iowa;12534;41.053083;-94.318925
IOWA;Van Buren;19;177;28.4;2.8;23.3;34.3;28.2;2.6;23.4;33.9;1630;151;1351;1956;;;3;2;Van Buren;Iowa;7570;40.745557;-91.939134
IOWA;Wapello;19;179;28.8;2.4;24.4;33.8;28.7;2.2;24.6;33.3;7545;584;6460;8763;;;3;2;Wapello;Iowa;35625;41.016218;-92.418385
IOWA;Warren;19;181;31.9;2.5;27.2;37.1;31.9;2.5;27.4;37;10600;820;9080;12280;;;4;5;Warren;Iowa;46225;41.400885;-93.588243
IOWA;Washington;19;183;28.7;2.6;24;34.2;28.7;2.5;24.2;33.9;4475;385;3769;5279;;;3;2;Washington;Iowa;21704;41.361978;-91.695465
IOWA;Wayne;19;185;29.3;3;23.9;35.6;29.1;2.8;24.1;34.9;1370;130;1132;1642;;;3;3;Wayne;Iowa;6403;40.740054;-93.312926
IOWA;Webster;19;187;29.2;2.4;24.8;34.2;29;2.3;24.9;33.8;8171;637;7012;9517;;;3;3;Webster;Iowa;38013;42.480374;-94.179066
IOWA;Winnebago;19;189;28.1;2.7;23.1;33.7;28;2.5;23.4;33.2;2305;208;1923;2733;;;3;2;Winnebago;Iowa;10866;43.34288;-93.667031
IOWA;Winneshiek;19;191;26.9;2.4;22.4;31.8;26.9;2.3;22.7;31.7;4260;368;3587;5024;;;2;1;Winneshiek;Iowa;21056;43.281284;-91.814375
IOWA;Woodbury;19;193;29.5;1.9;25.8;33.3;29.6;1.8;26;33.3;21090;1305;18580;23740;;;3;3;Woodbury;Iowa;102172;42.483225;-96.344174
IOWA;Worth;19;195;29.2;2.9;23.9;35.5;29.2;2.8;24.3;35.1;1709;162;1420;2054;;;3;3;Worth;Iowa;7598;43.36654;-93.252258
IOWA;Wright;19;197;28;2.8;22.9;33.8;27.9;2.6;23.1;33;2701;247;2243;3203;;;3;2;Wright;Iowa;13229;42.732195;-93.755488
KANSAS;Allen;20;1;31.6;2.7;26.7;37.2;31.4;2.5;26.8;36.5;3120;246;2665;3629;;;4;4;Allen;Kansas;13371;37.896584;-95.367053
KANSAS;Anderson;20;3;29.9;2.9;24.5;35.8;29.6;2.7;24.6;35.2;1738;160;1440;2067;;;3;3;Anderson;Kansas;8102;38.250112;-95.264386
KANSAS;Atchison;20;5;31.8;2.5;27.1;36.8;31.6;2.4;27.1;36.4;3749;282;3218;4315;;;4;4;Atchison;Kansas;16924;39.555583;-95.181488
KANSAS;Barber;20;7;30.7;3;25.3;37.1;30.8;2.8;25.6;36.7;1125;103;936;1341;;;4;4;Barber;Kansas;4861;37.212182;-98.557384
KANSAS;Barton;20;9;31.6;2.4;27.1;36.7;31.3;2.2;27.2;36;6389;453;5548;7336;;;4;4;Barton;Kansas;27674;38.394738;-98.757739
KANSAS;Bourbon;20;11;30.7;2.5;26;36;30.6;2.4;26.1;35.5;3279;258;2800;3809;;;4;4;Bourbon;Kansas;15173;37.845557;-94.749443
KANSAS;Brown;20;13;30.9;2.8;25.7;36.8;30.6;2.6;25.8;36.1;2249;193;1896;2656;;;4;4;Brown;Kansas;9984;39.801273;-95.550384
KANSAS;Butler;20;15;30.4;1.8;27.1;34.2;30.5;1.7;27.3;34.2;14060;799;12590;15730;;;4;4;Butler;Kansas;65880;37.727135;-96.989771
KANSAS;Chase;20;17;30.7;3.2;25;37.3;30.7;3;25.2;36.9;642;63;529;774;;;4;4;Chase;Kansas;2790;38.358336;-96.559378
KANSAS;Chautauqua;20;19;30.5;3.1;25;37;29.9;2.8;24.8;35.7;887;83;736;1058;;;4;4;Chautauqua;Kansas;3669;37.111002;-96.231466
KANSAS;Cherokee;20;21;30.9;2.4;26.5;35.9;30.9;2.3;26.6;35.7;4788;356;4124;5523;;;4;4;Cherokee;Kansas;21603;37.115229;-94.755079
KANSAS;Cheyenne;20;23;29.8;3.2;24;36.7;29.2;2.9;23.9;35.2;635;63;520;765;;;3;3;Cheyenne;Kansas;2726;39.768136;-101.738994
KANSAS;Clark;20;25;29.9;3.2;24.1;37;29.7;3;24.4;36.1;476;48;391;578;;;3;3;Clark;Kansas;2215;37.290453;-99.873033
KANSAS;Clay;20;27;30.3;2.8;25.2;36;30;2.6;25.3;35.4;2035;176;1715;2399;;;4;4;Clay;Kansas;8535;39.356195;-97.12257
KANSAS;Cloud;20;29;30.5;2.9;25.1;36.6;29.9;2.7;24.9;35.4;2146;191;1788;2543;;;4;4;Cloud;Kansas;9533;39.53395;-97.637247
KANSAS;Coffey;20;31;30.6;2.9;25.4;36.9;30.7;2.8;25.8;36.6;1953;177;1638;2330;;;4;4;Coffey;Kansas;8601;38.247657;-95.739982
KANSAS;Comanche;20;33;30.8;3.4;24.7;37.8;29.9;3;24.4;36.2;457;46;373;553;;;4;4;Comanche;Kansas;1891;37.23627;-99.365215
KANSAS;Cowley;20;35;30.3;2.1;26.4;34.7;30.4;2;26.6;34.6;7468;497;6543;8502;;;4;4;Cowley;Kansas;36311;37.174285;-96.997786
KANSAS;Crawford;20;37;31.2;2.1;27.1;35.5;31;2.1;27;35.2;8837;601;7697;10050;;;4;4;Crawford;Kansas;39134;37.439934;-94.731394
KANSAS;Decatur;20;39;30.7;3.2;24.9;37.3;30.1;2.8;24.8;35.9;704;66;580;840;;;4;4;Decatur;Kansas;2961;39.804329;-100.490859
KANSAS;Dickinson;20;41;30.8;2.5;26.2;35.9;30.6;2.3;26.3;35.3;4443;333;3824;5127;;;4;4;Dickinson;Kansas;19754;38.881314;-97.149128
KANSAS;Doniphan;20;43;30;2.9;24.7;36.1;30;2.8;24.9;35.6;1693;156;1406;2014;;;4;3;Doniphan;Kansas;7945;39.788642;-95.07501
KANSAS;Douglas;20;45;26.7;1.4;24;29.5;26.6;1.5;23.8;29.7;22920;1315;20490;25570;;;2;1;Douglas;Kansas;110826;38.941783;-95.251337
KANSAS;Edwards;20;47;30.1;3.2;24.3;36.9;30;3;24.6;36.3;687;69;563;830;;;4;3;Edwards;Kansas;3037;37.914412;-99.354911
KANSAS;Elk;20;49;30.5;3.1;24.8;37.1;29.9;2.8;24.6;35.8;712;68;586;851;;;4;4;Elk;Kansas;2882;37.421638;-96.236702
KANSAS;Ellis;20;51;29.7;2.3;25.5;34.5;29.6;2.2;25.4;34.3;6205;468;5334;7192;;;3;3;Ellis;Kansas;28452;38.88156;-99.32999
KANSAS;Ellsworth;20;53;29.6;2.8;24.6;35.5;29.4;2.7;24.6;35;1479;133;1237;1756;;;3;3;Ellsworth;Kansas;6497;38.721016;-98.262851
KANSAS;Finney;20;55;31.4;2.5;26.9;36.5;32.1;2.5;27.5;37.3;8378;654;7179;9740;;;4;4;Finney;Kansas;36776;37.97733;-100.86582
KANSAS;Ford;20;57;31.2;2.5;26.6;36.4;31.2;2.5;26.6;36.4;6845;548;5828;7977;;;4;4;Ford;Kansas;33848;37.751112;-99.994842
KANSAS;Franklin;20;59;31.3;2.3;27;36.1;31.4;2.3;27.2;36.1;6027;432;5224;6920;;;4;4;Franklin;Kansas;25992;38.602731;-95.260071
KANSAS;Geary;20;61;28.1;2;24.3;32.4;28.2;2.1;24.3;32.4;5843;426;5041;6730;;;3;2;Geary;Kansas;34362;39.03865;-96.83925
KANSAS;Gove;20;63;29.9;3.2;23.8;36.5;29.5;2.9;24.1;35.2;588;57;480;703;;;3;3;Gove;Kansas;2695;39.047631;-100.374241
KANSAS;Graham;20;65;30;3.1;24.3;36.5;29.3;2.7;24.3;35.1;617;58;510;737;;;4;3;Graham;Kansas;2597;39.359746;-99.857852
KANSAS;Grant;20;67;30.4;3.1;24.9;37;30.7;3;25.2;37.2;1555;152;1276;1879;;;4;4;Grant;Kansas;7829;37.580306;-101.34973
KANSAS;Gray;20;69;29.8;2.8;24.6;35.6;30.2;2.8;25;35.9;1178;108;978;1402;;;3;3;Gray;Kansas;6006;37.726577;-100.412964
KANSAS;Greeley;20;71;30.8;3.6;24.3;38.3;31.1;3.3;25;38.1;298;32;240;365;;;4;4;Greeley;Kansas;1247;38.487089;-101.763211
KANSAS;Greenwood;20;73;30.2;2.9;24.9;36.4;29.8;2.7;24.9;35.4;1569;141;1310;1868;;;4;4;Greenwood;Kansas;6689;37.85753;-96.226569
KANSAS;Hamilton;20;75;30.1;3.2;24.3;36.7;29.8;3;24.4;36.1;569;57;465;688;;;4;3;Hamilton;Kansas;2690;37.979185;-101.76766
KANSAS;Harper;20;77;30.4;2.9;25.1;36.4;29.8;2.7;24.8;35.2;1343;120;1116;1587;;;4;4;Harper;Kansas;6034;37.215092;-98.051218
KANSAS;Harvey;20;79;28.7;2.1;24.8;33;28.6;2;24.9;32.6;7069;485;6161;8049;;;3;2;Harvey;Kansas;34684;38.047085;-97.385273
KANSAS;Haskell;20;81;29.8;3;24.3;36.2;30.3;3;24.8;36.6;825;82;676;999;;;3;3;Haskell;Kansas;4256;37.500029;-100.89411
KANSAS;Hodgeman;20;83;31.4;3.5;25.1;38.9;31.3;3.3;25.4;38.1;468;49;379;569;;;4;4;Hodgeman;Kansas;1916;38.083504;-99.867564
KANSAS;Jackson;20;85;30.3;2.4;25.9;35.2;30.4;2.3;26.1;35.1;2945;221;2528;3398;;;4;4;Jackson;Kansas;13462;39.400924;-95.751346
KANSAS;Jefferson;20;87;31.9;2.5;27.3;37.2;32.1;2.4;27.7;37.1;4466;330;3857;5158;;;4;5;Jefferson;Kansas;19126;39.210891;-95.397856
KANSAS;Jewell;20;89;30;3.2;24.3;36.8;29.6;2.8;24.5;35.6;762;72;631;919;;;4;3;Jewell;Kansas;3077;39.775457;-98.201227
KANSAS;Johnson;20;91;23.1;0.7;21.8;24.5;23.4;0.7;22.1;24.7;89650;2551;84760;94680;;;1;0;Johnson;Kansas;544179;38.928049;-94.737132
KANSAS;Kearny;20;93;29.9;3.1;24.2;36.4;30.1;3;24.6;36.3;859;84;703;1037;;;3;3;Kearny;Kansas;3977;37.954211;-101.237967
KANSAS;Kingman;20;95;29.9;2.8;24.8;35.8;29.7;2.6;25;35.1;1741;152;1463;2055;;;3;3;Kingman;Kansas;7858;37.608437;-98.097712
KANSAS;Kiowa;20;97;30.1;3.3;24;37.2;29.7;3;24.4;35.9;596;60;489;721;;;4;3;Kiowa;Kansas;2553;37.598711;-99.257059
KANSAS;Labette;20;99;31.1;2.4;26.6;36.1;30.9;2.3;26.6;35.7;4980;363;4298;5755;;;4;4;Labette;Kansas;21607;37.258236;-95.260544
KANSAS;Lane;20;101;30.1;3.4;23.9;37.2;29.8;3.1;24.1;36.1;406;42;328;492;;;4;3;Lane;Kansas;1750;38.503002;-100.487778
KANSAS;Leavenworth;20;103;30.3;1.6;27.2;33.7;30.8;1.6;27.7;34.2;16690;894;15000;18520;;;4;4;Leavenworth;Kansas;76227;39.238518;-94.959302
KANSAS;Lincoln;20;105;30;3.1;24.4;36.3;29.8;2.8;24.6;35.7;759;72;626;910;;;4;3;Lincoln;Kansas;3241;39.036065;-98.175271
KANSAS;Linn;20;107;29.9;2.8;24.6;35.6;29.7;2.6;24.8;35;2169;189;1814;2561;;;3;3;Linn;Kansas;9656;38.237359;-94.801632
KANSAS;Logan;20;109;30.6;3.2;24.8;37.5;30.4;3;25;36.6;609;59;500;733;;;4;4;Logan;Kansas;2756;39.098288;-100.925261
KANSAS;Lyon;20;111;29.6;2.2;25.6;34.2;29.7;2.1;25.7;34.2;7598;548;6583;8748;;;3;3;Lyon;Kansas;33690;38.416154;-96.179779
KANSAS;Marion;20;115;31;2.8;25.8;36.9;30.4;2.6;25.7;35.8;2793;236;2356;3289;;;4;4;Marion;Kansas;12660;38.326437;-97.124507
KANSAS;Marshall;20;117;31.4;2.9;26.3;37.5;31.2;2.6;26.4;36.7;2446;207;2069;2880;;;4;4;Marshall;Kansas;10117;39.800028;-96.573612
KANSAS;McPherson;20;113;28.9;2.1;25;33.1;28.8;1.9;25.1;32.7;6266;422;5456;7119;;;3;2;McPherson;Kansas;29180;38.381163;-97.647603
KANSAS;Meade;20;119;30.6;3.1;24.9;37.1;30.2;2.9;24.9;36.3;935;89;771;1124;;;4;4;Meade;Kansas;4575;37.292089;-100.394216
KANSAS;Miami;20;121;28.6;2.1;24.8;32.8;29.2;2;25.4;33.3;6590;460;5733;7524;;;3;2;Miami;Kansas;32787;38.590405;-94.836385
KANSAS;Mitchell;20;123;29.5;3;24.1;35.6;29.3;2.7;24.3;34.9;1389;130;1153;1658;;;3;3;Mitchell;Kansas;6373;39.454968;-98.174198
KANSAS;Montgomery;20;125;30.5;2.2;26.5;35.2;30.4;2;26.7;34.6;7709;513;6764;8777;;;4;4;Montgomery;Kansas;35471;37.139982;-95.695334
KANSAS;Morris;20;127;30.8;3;25.2;37.1;30.1;2.8;25.1;35.9;1404;129;1168;1673;;;4;4;Morris;Kansas;5923;38.698154;-96.588826
KANSAS;Morton;20;129;29.2;3.1;23.4;35.5;29.3;2.9;23.8;35.2;611;60;498;736;;;3;3;Morton;Kansas;3233;37.047093;-101.838333
KANSAS;Nemaha;20;131;29.1;2.7;24.1;34.7;28.6;2.5;24.1;33.8;2109;182;1776;2492;;;3;3;Nemaha;Kansas;10178;39.829915;-95.962628
KANSAS;Neosho;20;133;31.7;2.6;27;37;31.5;2.4;27;36.4;3773;290;3235;4364;;;4;4;Neosho;Kansas;16512;37.624963;-95.39482
KANSAS;Ness;20;135;29.6;3.2;23.8;36.4;28.8;2.8;23.7;34.8;684;67;562;826;;;3;3;Ness;Kansas;3107;38.492429;-99.898826
KANSAS;Norton;20;137;29.8;2.9;24.6;35.8;29.6;2.8;24.6;35.3;1249;117;1037;1491;;;3;3;Norton;Kansas;5671;39.820601;-99.878289
KANSAS;Osage;20;139;32.4;2.6;27.7;37.8;32.2;2.4;27.9;37.3;3929;291;3398;4542;;;4;5;Osage;Kansas;16295;38.698945;-95.711621
KANSAS;Osborne;20;141;30.8;3.2;25.2;37.5;30.4;2.8;25.2;36.1;907;83;752;1077;;;4;4;Osborne;Kansas;3858;39.424792;-98.707572
KANSAS;Ottawa;20;143;29.8;2.9;24.5;36;29.7;2.8;24.6;35.4;1347;125;1116;1608;;;3;3;Ottawa;Kansas;6091;39.096434;-97.681833
KANSAS;Pawnee;20;145;30.1;2.8;24.8;36.2;30.2;2.7;25.2;35.9;1443;130;1203;1717;;;4;3;Pawnee;Kansas;6973;38.178541;-99.147286
KANSAS;Phillips;20;147;30.2;3;24.7;36.6;29.8;2.7;24.7;35.3;1229;113;1020;1459;;;4;4;Phillips;Kansas;5642;39.757048;-99.349355
KANSAS;Pottawatomie;20;149;29.6;2.2;25.5;34.1;29.9;2.2;25.9;34.4;4133;301;3578;4754;;;3;3;Pottawatomie;Kansas;21604;39.258473;-96.316121
KANSAS;Pratt;20;151;31.4;3;26;37.8;30.9;2.8;25.9;36.7;2184;198;1832;2596;;;4;4;Pratt;Kansas;9656;37.645065;-98.731177
KANSAS;Rawlins;20;153;30.3;3.2;24.6;37;29.8;2.8;24.7;35.7;604;57;501;723;;;4;4;Rawlins;Kansas;2519;39.807807;-101.053756
KANSAS;Reno;20;155;31.5;1.9;28;35.2;31.4;1.7;28.1;34.8;14880;819;13290;16500;;;4;4;Reno;Kansas;64511;38.050915;-97.933041
KANSAS;Republic;20;157;31.1;3.1;25.4;37.9;30.4;2.8;25.3;36.1;1190;109;991;1415;;;4;4;Republic;Kansas;4980;39.818188;-97.659183
KANSAS;Rice;20;159;31;3;25.4;37.3;30.7;2.8;25.5;36.6;2251;208;1869;2681;;;4;4;Rice;Kansas;10083;38.321963;-98.201028
KANSAS;Riley;20;161;26.4;1.7;23.2;29.9;26.3;1.9;22.8;30.3;13360;974;11560;15360;;;2;1;Riley;Kansas;71115;39.189473;-96.633015
KANSAS;Rooks;20;163;29.8;3;24.4;35.9;29.3;2.8;24.3;35;1152;108;953;1377;;;3;3;Rooks;Kansas;5181;39.314266;-99.316791
KANSAS;Rush;20;165;29.7;3.1;23.9;36.1;29.1;2.8;23.9;34.8;735;70;605;881;;;3;3;Rush;Kansas;3307;38.525797;-99.283593
KANSAS;Russell;20;167;29.5;2.9;24.3;35.5;29.2;2.6;24.3;34.5;1513;136;1261;1790;;;3;3;Russell;Kansas;6970;38.904508;-98.824959
KANSAS;Saline;20;169;32.4;2;28.8;36.6;32.3;1.9;28.9;36.1;12900;744;11540;14440;;;4;5;Saline;Kansas;55606;38.815777;-97.606733
KANSAS;Scott;20;171;30.6;3.1;25.1;37.2;30.6;2.9;25.3;36.7;1053;99;871;1260;;;4;4;Scott;Kansas;4936;38.482303;-100.913605
KANSAS;Sedgwick;20;173;28.9;0.8;27.3;30.5;29.1;0.8;27.6;30.7;98140;2704;92940;103500;;;3;2;Sedgwick;Kansas;498365;37.678808;-97.344603
KANSAS;Seward;20;175;33.1;2.8;27.9;38.9;33.4;2.8;28.1;39.4;4858;414;4093;5724;;;5;5;Seward;Kansas;22952;37.052196;-100.9161
KANSAS;Shawnee;20;177;30.5;1.2;28.2;32.9;30.6;1.1;28.4;32.8;39040;1458;36250;41900;;;4;4;Shawnee;Kansas;177934;39.035591;-95.705467
KANSAS;Sheridan;20;179;29.5;3.1;23.7;35.9;29.2;2.8;23.9;35.1;571;56;467;686;;;3;3;Sheridan;Kansas;2556;39.36791;-100.467964
KANSAS;Sherman;20;181;29.9;2.9;24.5;36;29.6;2.7;24.5;35.3;1319;121;1094;1573;;;3;3;Sherman;Kansas;6010;39.349294;-101.726283
KANSAS;Smith;20;183;30.1;3.1;24.4;36.5;29.3;2.7;24.3;34.9;928;86;769;1105;;;4;3;Smith;Kansas;3853;39.770675;-98.809623
KANSAS;Stafford;20;185;30.9;3.1;25.2;37.3;30.6;2.8;25.3;36.3;1013;93;840;1204;;;4;4;Stafford;Kansas;4437;38.00686;-98.736685
KANSAS;Stanton;20;187;30.6;3.3;24.4;37.6;30.4;3.1;24.6;36.9;467;48;379;568;;;4;4;Stanton;Kansas;2235;37.566267;-101.756238
KANSAS;Stevens;20;189;29.4;2.9;24.2;35.5;29.4;2.8;24.4;35.2;1011;96;838;1211;;;3;3;Stevens;Kansas;5724;37.190103;-101.322335
KANSAS;Sumner;20;191;31;2.3;26.6;35.7;31.1;2.2;27;35.6;5352;378;4652;6129;;;4;4;Sumner;Kansas;24132;37.304076;-97.406852
KANSAS;Thomas;20;193;30.8;2.9;25.5;37;30.9;2.8;25.9;37;1578;144;1319;1885;;;4;4;Thomas;Kansas;7900;39.38443;-101.04619
KANSAS;Trego;20;195;30.1;3.2;24.3;37;29.8;2.9;24.3;36.1;669;65;546;811;;;4;3;Trego;Kansas;3001;39.004452;-99.881979
KANSAS;Wabaunsee;20;197;29.4;2.8;24.3;35.2;29.7;2.7;24.7;35.2;1553;141;1294;1842;;;3;3;Wabaunsee;Kansas;7053;38.984769;-96.177572
KANSAS;Wallace;20;199;30.2;3.4;23.9;37.3;30.3;3.2;24.4;36.8;328;34;264;398;;;4;4;Wallace;Kansas;1485;38.888589;-101.765288
KANSAS;Washington;20;201;29.5;3;24;35.7;28.9;2.6;24;34.4;1278;116;1060;1520;;;3;3;Washington;Kansas;5799;39.782029;-97.054087
KANSAS;Wichita;20;203;30.1;3.3;24.2;37.1;30.2;3.1;24.5;36.5;468;48;380;566;;;4;3;Wichita;Kansas;2234;38.494297;-101.349386
KANSAS;Wilson;20;205;30.3;2.9;25.1;36.3;30.1;2.7;25.2;35.7;2191;194;1834;2601;;;4;4;Wilson;Kansas;9409;37.512574;-95.741217
KANSAS;Woodson;20;207;30.1;3.1;24.5;36.8;29.5;2.9;24.4;35.5;783;76;648;943;;;4;3;Woodson;Kansas;3309;37.8733;-95.739522
KANSAS;Wyandotte;20;209;35.4;1.6;32.5;38.6;35.8;1.5;32.9;38.8;37860;1631;34800;41120;;;6;5;Wyandotte;Kansas;157505;39.104143;-94.707937
KENTUCKY;Adair;21;1;32.8;3.4;26.6;40.1;32.6;3.3;26.6;39.8;4326;442;3531;5274;;;5;5;Adair;Kentucky;18656;37.107756;-85.279096
KENTUCKY;Allen;21;3;32.3;3.6;25.9;39.9;32.2;3.5;25.9;39.7;4573;502;3678;5637;;;4;5;Allen;Kentucky;19956;36.747908;-86.208056
KENTUCKY;Anderson;21;5;31.4;3.7;24.7;39.5;31.8;3.7;25.1;39.9;4974;585;3925;6240;;;4;4;Anderson;Kentucky;21421;38.028088;-84.923071
KENTUCKY;Ballard;21;7;29.9;3.5;23.5;37.3;29.7;3.4;23.6;36.7;1917;217;1520;2369;;;3;3;Ballard;Kentucky;8249;37.04421;-88.97886
KENTUCKY;Barren;21;9;28.6;2.7;23.8;34;28.6;2.6;23.9;33.8;8872;806;7418;10500;;;3;2;Barren;Kentucky;42173;36.996774;-85.931813
KENTUCKY;Bath;21;11;31;3.2;25.1;37.5;31;3.1;25.4;37.5;2704;269;2209;3262;;;4;4;Bath;Kentucky;11591;38.139441;-83.73656
KENTUCKY;Bell;21;13;33.1;3.4;26.8;40.2;33.1;3.3;27;39.9;7266;717;5944;8770;;;5;5;Bell;Kentucky;28691;36.687928;-83.701396
KENTUCKY;Boone;21;15;29.4;2.4;24.9;34.4;29.8;2.4;25.3;34.8;24160;1961;20460;28220;;;3;3;Boone;Kentucky;118811;38.9871;-84.679715
KENTUCKY;Bourbon;21;17;34.5;4.1;27.2;43.2;34.6;4;27.5;42.8;5114;586;4071;6333;;;5;5;Bourbon;Kentucky;19985;38.202978;-84.246611
KENTUCKY;Boyd;21;19;33.6;2.5;29;38.6;33.6;2.3;29.2;38.4;12470;868;10840;14240;;;5;5;Boyd;Kentucky;49542;38.431905;-82.666548
KENTUCKY;Boyle;21;21;29.6;3.3;23.8;36.5;29.6;3.2;23.8;36.3;6476;702;5214;7956;;;3;3;Boyle;Kentucky;28432;37.635777;-84.799493
KENTUCKY;Bracken;21;23;31.5;3.3;25.2;38.5;31.7;3.3;25.6;38.5;2005;207;1615;2434;;;4;4;Bracken;Kentucky;8488;38.702562;-84.070088
KENTUCKY;Breathitt;21;25;37.4;3.6;30.8;45;37.5;3.5;31.1;44.8;4462;413;3696;5332;;;6;5;Breathitt;Kentucky;13878;37.520092;-83.37768
KENTUCKY;Breckinridge;21;27;29.5;3;23.9;35.9;29.7;3;24.2;35.8;4253;426;3474;5131;;;3;3;Breckinridge;Kentucky;20059;37.770382;-86.410471
KENTUCKY;Bullitt;21;29;31.9;3.4;25.9;39.1;32.3;3.4;26.3;39.5;17960;1898;14580;21940;;;4;5;Bullitt;Kentucky;74319;38.022943;-85.655385
KENTUCKY;Butler;21;31;33;3.8;26.3;41.1;33.2;3.7;26.5;41.1;3310;371;2644;4098;;;5;5;Butler;Kentucky;12690;37.218921;-86.680574
KENTUCKY;Caldwell;21;33;34.6;3.6;28;42.3;34.5;3.4;28.2;41.9;3403;339;2776;4130;;;5;5;Caldwell;Kentucky;12984;37.127446;-87.87922
KENTUCKY;Calloway;21;35;29.1;2.7;24.2;34.7;28.8;2.7;24;34.3;8031;740;6688;9578;;;3;3;Calloway;Kentucky;37191;36.620185;-88.305814
KENTUCKY;Campbell;21;37;28.8;2.5;24.2;34;29;2.5;24.5;34;18540;1567;15660;21750;;;3;2;Campbell;Kentucky;90336;39.035049;-84.44141
KENTUCKY;Carlisle;21;39;32.5;4.2;25.1;41.4;32.1;4;25.1;40.5;1255;156;980;1585;;;5;5;Carlisle;Kentucky;5104;36.854337;-88.94788
KENTUCKY;Carroll;21;41;30.9;4;23.8;39.4;31.1;3.9;24.1;39.5;2417;303;1871;3070;;;4;4;Carroll;Kentucky;10811;38.668554;-85.139328
KENTUCKY;Carter;21;43;32.8;2.8;27.6;38.5;32.8;2.8;27.7;38.4;6642;563;5600;7782;;;5;5;Carter;Kentucky;27720;38.313503;-83.03816
KENTUCKY;Casey;21;45;34.8;3.7;28.1;42.7;34.6;3.6;28.1;42.2;4214;436;3416;5136;;;5;5;Casey;Kentucky;15955;37.303319;-84.924168
KENTUCKY;Christian;21;47;29.3;2.6;24.4;34.6;29.4;2.6;24.5;34.7;15210;1367;12670;17980;;;3;3;Christian;Kentucky;73955;36.810955;-87.478173
KENTUCKY;Clark;21;49;28.8;3.4;22.8;36;29;3.3;23;36;7728;876;6143;9586;;;3;2;Clark;Kentucky;35613;37.986825;-84.182232
KENTUCKY;Clay;21;51;31.9;3.3;26;38.9;32.1;3.2;26.2;39.1;5808;588;4734;7071;;;4;5;Clay;Kentucky;21730;37.169598;-83.746759
