-86.752554,33.460451,WF - Mountain Brook,"3100 Cahaba Village Plaza, Birmingham, AL 35243,205.912.8400,205.912.8410 fax,8:00 a.m. to 10:00 p.m. Monday to Saturday,9:00 a.m. to 9:00 p.m. Sunday"
-110.921533,32.235935,WF - Speedway,"3360 E. Speedway Blvd., Tucson, AZ 85716,520.795.9844,520.795.8567 fax,7:00 a.m. to 10:00 p.m. seven days a week."
-111.894228,33.618542,WF - Raintree,"8688 East Raintree Drive, Scottsdale, AZ 85260,480.368.1279,480.368.1463 fax,8:00 a.m. to 9:00 p.m. seven days a week."
-110.977746,32.33624,WF - Oracle,"7133 Oracle Rd, Tucson, AZ 85704,520.297.5394,520.742.1761 fax,8:00 a.m. to 9:00 p.m. seven days a week."
-111.928906,33.378687,WF - Tempe,"5120 S. Rural Rd, Tempe, AZ 85282,480.456.1400,480.456.1490 fax,8:00 a.m. to 10:00 p.m. seven days a week."
-111.978134,33.584612,WF - Paradise Valley,"10810 N Tatum Blvd, Phoenix, AZ 85028,602.569.7600,602.867.1598 fax,7:00 a.m. to 10:00 p.m. seven days a week."
-111.927354,33.654928,WF - Scottsdale,"7111 E. Mayo Blvd., Phoenix, AZ 85054,480.515.3777,480.502.5675 fax,7:00 a.m. to 10:00 p.m. seven days a week."
-111.892393,33.320132,WF - Chandler,"2955 West Ray Road,Chandler, AZ 85224,480.821.9447,480.899.3045 fax,8:00 a.m. to 10:00 p.m. seven days a week."
-92.392846,34.770292,WF - Little Rock,"10700 N. Rodney Parham, Little Rock, AR 72212,501.221.2331,501.221.9726 fax,8:00 a.m. to 9:00 p.m. Every Day"
-122.453282,37.769486,WF - Haight Street,"690 Stanyan Street, San Francisco, CA 94117,415.876.6740,415.876.6730 fax,8:00 a.m. - 10:00 p.m. Every Day"
-118.495021,34.032517,WF - Montana Avenue,"1425 Montana Ave., Santa Monica, CA 90403,310.576.4707,310.576.4710 fax,8:00 a.m. to 9:00 p.m. seven days a week."
-122.039909,37.323129,WF - Cupertino,"20955 Stevens Creek Blvd, Cupertino, CA 95014,408.257.7000,408.257.1475 fax,8:00 a.m. to 10:00 p.m. seven days a week."
-122.117711,37.892877,WF - Lafayette,"3502 Mt. Diablo Blvd,Lafayette, CA 94549,925.284.5305,925.284.5315 fax,8am - 9pm Everyday"
-118.397859,34.069018,WF - Beverly Hills,"239 North Crescent Dr, Beverly Hills, CA 90210,310.274.3360,310.274.8149 fax,7:00 a.m. to 10:00 p.m. seven days a week."
-118.596427,34.167794,WF - Woodland Hills,"21347 Ventura Blvd, Woodland Hills, CA 91364,818.610.0000,818.610.0040 fax,7:00 a.m. to 10:00 p.m. seven days a week."
-117.872815,33.614678,WF - Newport Beach,"415 Newport Center Drive, Newport Beach  California  92660, Phone: 949-999-8572, Store Hours: 7:00 am to 10:00pm. Seven days a Week. Back Bay Tavern 11:00 am to 10:00 pm. Seven days a week."
-121.266042,38.766312,WF - Roseville,"1001 Galleria Blvd., Roseville, CA 95678,916.781.5300,916.781.5424 fax,8:00 a.m. to 9:00 p.m. seven days a week."
-122.673922,38.442259,WF - Santa Rosa,"1181 Yulupa Ave, Santa Rosa, CA 95405,707.575.7915,707.575.8074 fax,8:00 a.m. to 9:00 p.m. seven days a week."
-117.78397,33.543968,WF - Laguna Beach,"283 Broadway St., Laguna Beach, CA 92651,949.376.7888,949.376.7889 fax,7:00 a.m. to 9:00 p.m. seven days a week."
-121.74127,38.541659,WF - Davis,"500 First Street, Davis  California  95616, Phone: 530.750.2266, Store Hours: 7 a.m. - 9 p.m. seven days a week"
-122.231204,37.482327,WF - Redwood City,"1250 Jefferson Ave, Redwood City, CA 94062,650.367.1400,650.367.1414 fax,8:00 a.m. to 10:00 p.m. seven days a week"
-122.535859,37.896086,WF - Mill Valley,"414 Miller Ave, Mill Valley, CA 94941,415.381.1200,415.381.1036 fax,8:00 a.m. to 8:00 p.m. seven days a week."
-122.259834,37.85609,WF - Berkeley,"3000 Telegraph Ave, Berkeley, CA 94705,510.649.1333,510.649.1474 fax,8:00 a.m. to 10:00 p.m. seven days a week."
-122.634196,38.240377,WF - Petaluma,"621 E. Washington St, Petaluma, CA 94952,707.762.9352,707.762.8709 fax,8:00 a.m. to 9:00 p.m. seven days a week."
-118.245595,34.150658,WF - Glendale,"331 North Glendale Ave, Glendale, CA 91206,818.548.3695,818.548.5248 fax,7:00 a.m. to 10:00 p.m. seven days a week."
